mode,question_id,category,faithfulness,answer_relevancy,context_precision,context_recall,model_used
mode_1_llm_only,Q001,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q002,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q003,price_snapshot,,0.8477,,,llama-3.3-70b-versatile
mode_1_llm_only,Q004,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q005,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q006,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q007,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q008,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q009,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q010,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q011,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q012,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q013,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q014,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q015,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q016,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q017,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q018,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q019,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q020,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q021,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q022,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q023,fundamental_metric,,0.9834,,,llama-3.3-70b-versatile
mode_1_llm_only,Q024,fundamental_metric,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q025,ranking,,0.9882,,,llama-3.3-70b-versatile
mode_1_llm_only,Q026,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q027,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q028,ranking,,0.9335,,,llama-3.3-70b-versatile
mode_1_llm_only,Q029,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q030,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q031,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q032,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q033,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q034,ranking,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q035,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q036,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q037,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q038,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q039,price_snapshot,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q040,price_snapshot,,0.9955,,,llama-3.3-70b-versatile
mode_1_llm_only,Q041,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q042,sector_query,,0.9584,,,llama-3.3-70b-versatile
mode_1_llm_only,Q043,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q044,sector_query,,0.8257,,,llama-3.3-70b-versatile
mode_1_llm_only,Q045,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q046,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q047,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q048,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q049,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_1_llm_only,Q050,sector_query,,0.0,,,llama-3.3-70b-versatile
mode_2_rag_only,Q001,price_snapshot,1.0,0.8952,1.0,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q002,price_snapshot,0.0,0.0,0.0,0.8571,llama-3.1-8b-instant
mode_2_rag_only,Q003,price_snapshot,0.0,0.0,1.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q004,price_snapshot,0.0,0.0,1.0,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q005,price_snapshot,1.0,0.5566,0.5,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q006,price_snapshot,1.0,0.4964,1.0,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q007,price_snapshot,0.0,0.0,0.0,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q008,price_snapshot,0.0,0.0,0.5,0.5,llama-3.1-8b-instant
mode_2_rag_only,Q009,price_snapshot,0.0,0.0,0.3333,1.0,llama-3.1-8b-instant
mode_2_rag_only,Q010,price_snapshot,0.0,0.0,0.0,1.0,llama-3.1-8b-instant
